business,category,address,city,phone,website,hasRealWebsite,rating,reviews,googleMapsUrl
"Tony's Mobile Wash of Santa Clarita","Car detailing service","","","(661) 709-9961","NONE","NO — TARGET","5","151","https://www.google.com/maps/search/?api=1&query=Tony's%20Mobile%20Wash%20of%20Santa%20Clarita&query_place_id=ChIJx3NCmpWJwoARtv6SxcSlImI"
"Dr Julie Med Spa","Medical spa","24510 Town Center Dr Unit 250 Room 15, Santa Clarita, CA 91355","Santa Clarita","(661) 388-0178","https://drjuliemedspa.com/","YES","5","210","https://www.google.com/maps/search/?api=1&query=Dr%20Julie%20Med%20Spa&query_place_id=ChIJITh1kGyHwoARwn8rASoTYdc"
"Infinity MedSpa","Medical spa","25425 Orchard Village Rd Suite 180, Valencia, CA 91355","Valencia","(661) 220-5102","https://infinitymedspa.com/?utm_source=GMBlisting&utm_medium=organic&utm_campaign=gmb","YES","4.9","685","https://www.google.com/maps/search/?api=1&query=Infinity%20MedSpa&query_place_id=ChIJ_Ys3sEaHwoARPKEIzANQB7w"
"West End MedSpa","Medical spa","21050 Centre Pointe Pkwy, Santa Clarita, CA 91350","Santa Clarita","(661) 310-3740","https://www.thewestendmedspa.com/?utm_source=GBP","YES","5","57","https://www.google.com/maps/search/?api=1&query=West%20End%20MedSpa&query_place_id=ChIJheFf1tGHwoARcN7iNmOtZbs"
"Dose of Aesthetics Medical Spa","Medical spa","24335 Magic Mountain Pkwy, Santa Clarita, CA 91355","Santa Clarita","(661) 750-0350","https://www.doseofaesthetics.com/","YES","5","55","https://www.google.com/maps/search/?api=1&query=Dose%20of%20Aesthetics%20Medical%20Spa&query_place_id=ChIJ4_Liv6SHwoARwQDqUg30_CI"
"The Skin Agency","Medical spa","27916 Seco Canyon Rd UNIT 202, Santa Clarita, CA 91350","Santa Clarita","(661) 788-6898","https://www.theskinagency.com/","YES","4.9","150","https://www.google.com/maps/search/?api=1&query=The%20Skin%20Agency&query_place_id=ChIJ15Q41aZ9woARtODUwjOTCbg"
"Royal Escape Day Spa","Day spa","19383 Soledad Canyon Rd, Santa Clarita, CA 91351","Santa Clarita","(661) 666-0190","http://www.deivoryspa.com/","YES","4.9","188","https://www.google.com/maps/search/?api=1&query=Royal%20Escape%20Day%20Spa&query_place_id=ChIJ-eWyu76JwoARaewI_37_4Rg"
"Valencia Medical Center","Medical spa","24159 Magic Mountain Pkwy, Santa Clarita, CA 91355","Santa Clarita","(661) 222-9117","https://www.valenciamedcenter.com/","YES","4.9","86","https://www.google.com/maps/search/?api=1&query=Valencia%20Medical%20Center&query_place_id=ChIJC7ERCUCHwoARch13qY2ZPus"
"Mind Body Infusion Med Spa","Medical spa","28532 La Madrid Dr, Santa Clarita, CA 91350","Santa Clarita","(661) 544-4036","https://mindbodyinfusion.com/","YES","4.8","281","https://www.google.com/maps/search/?api=1&query=Mind%20Body%20Infusion%20Med%20Spa&query_place_id=ChIJ90ss4UqJwoARThGBDWsgrHU"
"DermaCure","Medical spa","27871 Smyth Dr, Santa Clarita, CA 91355","Santa Clarita","(661) 257-8400","https://www.dermacurevalencia.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp","YES","4.8","169","https://www.google.com/maps/search/?api=1&query=DermaCure&query_place_id=ChIJh-tyXvd9woARoTF2TgiUnl4"
